Title,Author,Publication Year
1984,George Orwell,1949
The Great Gatsby,F. Scott Fitzgerald,1925
Moby Dick,,1851
Pride and Prejudice,Jane Austen,1813
The Catcher in the Rye,J.D. Salinger,1951
The Hobbit,J.R.R. Tolkien,1937
The Lord of the Rings,J.R.R. Tolkien,1954
The Da Vinci Code,Dan Brown,2003
The Alchemist,Paulo Coelho,1988
The Little Prince,Antoine de Saint-Exupéry,1943
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979
The Hunger Games,,2008
The Girl with the Dragon Tattoo,,2005
The Shining,Stephen King,1977
The Road,Cormac McCarthy,2006
The Book Thief,Markus Zusak,2005
The Kite Runner,Khaled Hosseini,2003
The Fault in Our Stars,John Green,2012
The Martian,Andy Weir,2011
The Night Circus,Erin Morgenstern,2011
The Goldfinch,Donna Tartt,2013
The Help,Kathryn Stockett,2009
The Secret Garden,Frances Hodgson Burnett,1911
The Picture of Dorian Gray,Oscar Wilde,1890
The Time Machine,H.G. Wells,1895
The War of the Worlds,H.G. Wells,1898
The Invisible Man,H.G. Wells,1897
The Island of Dr. Moreau,H.G. Wells,1896
The Call of the Wild,Jack London,1903
White Fang,Jack London,1906
The Jungle Book,Rudyard Kipling,1894
The Wind in the Willows,Kenneth Grahame,1908
The Chronicles of Narnia,C.S. Lewis,1950
The Lion the Witch and the Wardrobe,C.S. Lewis,1950
The Magician's Nephew,C.S. Lewis,1955
The Horse and His Boy,C.S. Lewis,1954
Prince Caspian,C.S. Lewis,1951
The Voyage of the Dawn Treader,C.S. Lewis,1952
The Silver Chair,C.S. Lewis,1953
The Last Battle,C.S. Lewis,1956
The Hobbit,J.R.R. Tolkien,1937
The Lord of the Rings,J.R.R. Tolkien,1954
The Fellowship of the Ring,J.R.R. Tolkien,1954
The Two Towers,J.R.R. Tolkien,1954
The Return of the King,J.R.R. Tolkien,1955
The Silmarillion,J.R.R. Tolkien,1977
The Children of Húrin,J.R.R. Tolkien,2007
The Fall of Gondolin,J.R.R. Tolkien,2018
The Legend of Sigurd and Gudrún,J.R.R. Tolkien,2009
The Story of Kullervo,J.R.R. Tolkien,2015
The Lay of Aotrou and Itroun,J.R.R. Tolkien,2016
The Lay of the Children of Húrin,J.R.R. Tolkien,2018
